100,100
30,4
id,x,y,type
0,37,78,DEPOT
1,81,45,CUSTOMER
2,2,76,CUSTOMER
3,45,1,CUSTOMER
4,27,58,CUSTOMER
5,89,44,CUSTOMER
6,87,16,CUSTOMER
7,82,43,CUSTOMER
8,100,23,CUSTOMER
9,2,15,CUSTOMER
10,15,45,CUSTOMER
11,18,32,CUSTOMER
12,90,20,CUSTOMER
13,99,77,CUSTOMER
14,74,59,CUSTOMER
15,35,42,CUSTOMER
16,7,64,CUSTOMER
17,15,58,CUSTOMER
18,6,21,CUSTOMER
19,21,93,CUSTOMER
20,87,83,CUSTOMER
21,2,46,CUSTOMER
22,48,34,CUSTOMER
23,74,92,CUSTOMER
24,62,49,CUSTOMER
25,26,18,CUSTOMER
26,98,17,CUSTOMER
27,16,61,CUSTOMER
28,13,39,CUSTOMER
29,69,86,CUSTOMER
30,65,97,CUSTOMER
31,78,69,CHARGING
32,68,58,CHARGING
33,96,99,CHARGING
34,16,66,CHARGING
