Iterasi,P20_G200_10_Customers,P20_G500_10_Customers,P20_G1000_10_Customers,P50_G200_10_Customers,P50_G500_10_Customers,P50_G1000_10_Customers,P100_G200_10_Customers,P100_G500_10_Customers,P100_G1000_10_Customers,P20_G200_20_Customers,P20_G500_20_Customers,P20_G1000_20_Customers,P50_G200_20_Customers,P50_G500_20_Customers,P50_G1000_20_Customers,P100_G200_20_Customers,P100_G500_20_Customers,P100_G1000_20_Customers,P20_G200_30_Customers,P20_G500_30_Customers,P20_G1000_30_Customers,P50_G200_30_Customers,P50_G500_30_Customers,P50_G1000_30_Customers,P100_G200_30_Customers,P100_G500_30_Customers,P100_G1000_30_Customers,P20_G200_40_Customers,P20_G500_40_Customers,P20_G1000_40_Customers,P50_G200_40_Customers,P50_G500_40_Customers,P50_G1000_40_Customers,P100_G200_40_Customers,P100_G500_40_Customers,P100_G1000_40_Customers,P20_G200_50_Customers,P20_G500_50_Customers,P20_G1000_50_Customers,P50_G200_50_Customers,P50_G500_50_Customers,P50_G1000_50_Customers,P100_G200_50_Customers,P100_G500_50_Customers,P100_G1000_50_Customers
1,0.000320748513,0.000312036666,0.000311729515,0.000333709294,0.000327838928,0.000334527627,0.000353815742,0.000337581231,0.000345127941,0.000186944533,0.000186076171,0.000184762122,0.000192484053,0.000195329564,0.000195245766,0.000200409386,0.000200142745,0.000203751349,0.000099292734,0.000098803560,0.000098570503,0.000105078526,0.000103766071,0.000102683836,0.000106443073,0.000105847814,0.000104540184,0.000058947266,0.000056857537,0.000057860141,0.000061879509,0.000060281762,0.000061796582,0.000062896925,0.000063031886,0.000062926144,0.000041663533,0.000036845143,0.000042290361,0.000050495336,0.000050426793,0.000049996984,0.000052009407,0.000052321898,0.000052369575
2,0.000336156020,0.000322078522,0.000320909490,0.000349627841,0.000341625935,0.000348692735,0.000369682487,0.000355290795,0.000360748022,0.000191924833,0.000189496949,0.000193212768,0.000199121187,0.000200979524,0.000201884284,0.000206502562,0.000206820021,0.000207882584,0.000101312578,0.000101269505,0.000100988335,0.000106384952,0.000105543390,0.000105994180,0.000108163929,0.000107542085,0.000106631920,0.000060309077,0.000058290790,0.000059268513,0.000062664581,0.000061626001,0.000063767600,0.000064104289,0.000063553818,0.000064272658,0.000044235848,0.000040811510,0.000044391238,0.000052808420,0.000051860439,0.000050940522,0.000052639160,0.000053146792,0.000052856178
3,0.000348361988,0.000331475980,0.000331609185,0.000358448387,0.000365144760,0.000358124508,0.000383130491,0.000383731370,0.000373296500,0.000195315949,0.000193912261,0.000196653733,0.000204058185,0.000208557290,0.000207471785,0.000213444798,0.000214523226,0.000215474970,0.000103117446,0.000104039459,0.000102388492,0.000108968040,0.000107877266,0.000107966570,0.000110747502,0.000109640072,0.000108717188,0.000061322855,0.000059745036,0.000060069671,0.000063248582,0.000062818567,0.000064856312,0.000065354007,0.000064831652,0.000065278368,0.000046366739,0.000043304558,0.000048352325,0.000053265056,0.000052773135,0.000052215688,0.000053326018,0.000054260013,0.000053464999
4,0.000353710931,0.000339741686,0.000347409927,0.000365045444,0.000380855191,0.000367958873,0.000392314641,0.000400268386,0.000393609949,0.000200681622,0.000200769019,0.000199914674,0.000210830758,0.000214365825,0.000213759498,0.000220656145,0.000221360375,0.000219453634,0.000104881377,0.000105379379,0.000105447219,0.000110970553,0.000109287243,0.000109297497,0.000112884419,0.000111434848,0.000111974759,0.000062387109,0.000061362174,0.000061522695,0.000065149242,0.000064208436,0.000066138675,0.000066144041,0.000065914882,0.000066432224,0.000050026751,0.000045262639,0.000050441302,0.000054027698,0.000053029785,0.000052791637,0.000054170903,0.000054951561,0.000054007749
5,0.000359654234,0.000355642796,0.000349928225,0.000378018977,0.000389942198,0.000376055507,0.000399057774,0.000405306832,0.000399302615,0.000208392078,0.000205498749,0.000202027485,0.000216206099,0.000218791633,0.000218811826,0.000224480343,0.000226404021,0.000221747696,0.000106019679,0.000106897656,0.000106862429,0.000113061566,0.000110422700,0.000111430291,0.000114372993,0.000113889468,0.000113408725,0.000064009986,0.000062834171,0.000062681411,0.000066422977,0.000065128036,0.000067008155,0.000067267031,0.000067085935,0.000067395749,0.000052337551,0.000047487121,0.000051195038,0.000055143424,0.000053599106,0.000053639175,0.000055308047,0.000055478344,0.000054497339
6,0.000369623338,0.000363129128,0.000358949265,0.000386379736,0.000399259234,0.000380221352,0.000405792257,0.000408375700,0.000411020424,0.000212287467,0.000209251562,0.000206934788,0.000221697880,0.000223751777,0.000220006799,0.000230657986,0.000229736236,0.000226331158,0.000107144029,0.000108031084,0.000108785460,0.000114063908,0.000111895171,0.000113537513,0.000116125965,0.000114651090,0.000115095186,0.000064684459,0.000063879065,0.000064075209,0.000067465403,0.000066176075,0.000067941506,0.000068563057,0.000067952587,0.000068479896,0.000053195392,0.000048022727,0.000051798107,0.000055957684,0.000054327210,0.000054097207,0.000055784981,0.000055964124,0.000055023125
7,0.000378782657,0.000367236803,0.000365983708,0.000394644340,0.000406171515,0.000393451864,0.000417064564,0.000417190290,0.000420653996,0.000216303885,0.000212164438,0.000211069246,0.000225178564,0.000228494189,0.000225240691,0.000233725136,0.000231616678,0.000229815351,0.000107833865,0.000108807708,0.000111144970,0.000115557328,0.000113250507,0.000115853647,0.000117470811,0.000116113701,0.000117004027,0.000066014782,0.000064690390,0.000064999108,0.000068177531,0.000067793756,0.000068969084,0.000068958162,0.000069179957,0.000069509620,0.000054023495,0.000051382549,0.000052671180,0.000056182946,0.000054931025,0.000054812431,0.000056276718,0.000056463109,0.000055309586
8,0.000381550391,0.000382434755,0.000376106403,0.000402905417,0.000414135811,0.000403255748,0.000422702669,0.000423996315,0.000424456045,0.000219500265,0.000213566063,0.000213844238,0.000227870579,0.000232240147,0.000229521701,0.000237942031,0.000234673094,0.000234184888,0.000108594774,0.000110977902,0.000112391469,0.000117262041,0.000114981787,0.000117481354,0.000118510552,0.000117780032,0.000117809111,0.000067062388,0.000065211499,0.000066028463,0.000068997944,0.000068521341,0.000069826167,0.000069499282,0.000069787191,0.000070114688,0.000054528164,0.000052284329,0.000053186214,0.000056639882,0.000055438382,0.000055395351,0.000056555788,0.000057583772,0.000055925369
9,0.000383759250,0.000387638175,0.000386896038,0.000411096226,0.000419203429,0.000409076075,0.000425220882,0.000428889682,0.000432284924,0.000222061226,0.000216855947,0.000217630105,0.000230019483,0.000234598054,0.000233838869,0.000241422496,0.000239319971,0.000238443511,0.000109756155,0.000112400191,0.000113640155,0.000118883772,0.000116822222,0.000118703208,0.000118921053,0.000118764028,0.000119103620,0.000067625210,0.000066350775,0.000067133360,0.000070078250,0.000069209474,0.000070937142,0.000070051034,0.000070366453,0.000071523294,0.000055117189,0.000052823842,0.000053658415,0.000057135202,0.000055796506,0.000056237981,0.000057181749,0.000057944438,0.000056426600
10,0.000385542371,0.000394622206,0.000393874726,0.000417053489,0.000420622457,0.000414394547,0.000430629088,0.000433824357,0.000433720599,0.000225544443,0.000218476762,0.000222413416,0.000235109160,0.000237854618,0.000239184354,0.000243768401,0.000243591480,0.000240959658,0.000111118414,0.000113739503,0.000115032497,0.000119586541,0.000119109261,0.000120023171,0.000119713757,0.000121018628,0.000120963377,0.000068352593,0.000067126562,0.000068282801,0.000070693645,0.000070456105,0.000071401301,0.000070955057,0.000071495162,0.000072150035,0.000056144666,0.000053079164,0.000054342001,0.000057476247,0.000056362640,0.000056481587,0.000057426943,0.000058444924,0.000057318671
