No,Dataset,Customers,CS,PopSize,MaxIter,BestFitness,AvgFitness,StdFitness,WorstFitness,BestDistance,AvgDistance,FeasibleCount,TotalRuns,AvgTimeMs
1,10_Customers,10,2,20,200,0.000492,0.000485,0.000011,0.000468,101.50,103.09,30,30,8
2,10_Customers,10,2,20,500,0.000492,0.000481,0.000012,0.000468,101.50,103.97,30,30,6
3,10_Customers,10,2,20,1000,0.000492,0.000483,0.000012,0.000468,101.50,103.44,30,30,12
4,10_Customers,10,2,50,200,0.000492,0.000488,0.000010,0.000468,101.50,102.56,30,30,6
5,10_Customers,10,2,50,500,0.000492,0.000484,0.000012,0.000468,101.50,103.26,30,30,15
6,10_Customers,10,2,50,1000,0.000492,0.000488,0.000009,0.000468,101.50,102.38,30,30,28
7,10_Customers,10,2,100,200,0.000492,0.000487,0.000011,0.000459,101.50,102.69,30,30,12
8,10_Customers,10,2,100,500,0.000492,0.000488,0.000010,0.000459,101.50,102.45,30,30,28
9,10_Customers,10,2,100,1000,0.000492,0.000490,0.000007,0.000468,101.50,102.03,30,30,56
10,20_Customers,20,3,20,200,0.000415,0.000366,0.000027,0.000316,120.39,137.23,30,30,6
11,20_Customers,20,3,20,500,0.000421,0.000393,0.000018,0.000339,118.84,127.44,30,30,11
12,20_Customers,20,3,20,1000,0.000421,0.000390,0.000026,0.000318,118.84,128.66,30,30,20
13,20_Customers,20,3,50,200,0.000421,0.000382,0.000021,0.000340,118.84,131.31,30,30,12
14,20_Customers,20,3,50,500,0.000421,0.000404,0.000015,0.000371,118.84,123.76,30,30,27
15,20_Customers,20,3,50,1000,0.000421,0.000402,0.000018,0.000356,118.84,124.56,30,30,52
16,20_Customers,20,3,100,200,0.000421,0.000383,0.000027,0.000321,118.84,131.23,30,30,27
17,20_Customers,20,3,100,500,0.000421,0.000398,0.000021,0.000333,118.84,125.84,30,30,59
18,20_Customers,20,3,100,1000,0.000421,0.000396,0.000022,0.000338,118.84,126.59,30,30,111
19,30_Customers,30,4,20,200,0.000243,0.000192,0.000021,0.000162,206.00,262.86,30,30,9
20,30_Customers,30,4,20,500,0.000313,0.000247,0.000021,0.000208,159.51,203.58,30,30,19
21,30_Customers,30,4,20,1000,0.000309,0.000267,0.000023,0.000210,161.62,188.56,30,30,37
22,30_Customers,30,4,50,200,0.000275,0.000225,0.000018,0.000191,181.67,223.77,30,30,23
23,30_Customers,30,4,50,500,0.000298,0.000266,0.000018,0.000229,167.58,188.49,30,30,51
24,30_Customers,30,4,50,1000,0.000305,0.000271,0.000019,0.000226,164.15,185.14,30,30,92
25,30_Customers,30,4,100,200,0.000246,0.000199,0.000020,0.000156,203.55,253.42,30,30,57
26,30_Customers,30,4,100,500,0.000302,0.000245,0.000029,0.000200,165.41,206.62,30,30,123
27,30_Customers,30,4,100,1000,0.000314,0.000262,0.000029,0.000203,159.10,192.88,30,30,233
28,40_Customers,40,5,20,200,0.000147,0.000117,0.000011,0.000099,340.88,429.26,30,30,23
29,40_Customers,40,5,20,500,0.000181,0.000145,0.000015,0.000119,276.16,348.20,30,30,52
30,40_Customers,40,5,20,1000,0.000204,0.000167,0.000019,0.000126,245.25,302.73,30,30,93
31,40_Customers,40,5,50,200,0.000150,0.000133,0.000010,0.000110,332.35,378.94,30,30,61
32,40_Customers,40,5,50,500,0.000205,0.000167,0.000017,0.000131,243.82,302.64,30,30,128
33,40_Customers,40,5,50,1000,0.000235,0.000184,0.000019,0.000152,213.16,273.85,30,30,233
34,40_Customers,40,5,100,200,0.000158,0.000116,0.000014,0.000097,317.31,436.44,30,30,140
35,40_Customers,40,5,100,500,0.000180,0.000147,0.000019,0.000111,277.19,344.64,30,30,321
36,40_Customers,40,5,100,1000,0.000214,0.000173,0.000022,0.000122,234.12,294.51,30,30,574
37,50_Customers,50,6,20,200,0.000114,0.000094,0.000008,0.000077,438.71,536.62,30,30,36
38,50_Customers,50,6,20,500,0.000139,0.000117,0.000011,0.000095,359.10,430.35,30,30,81
39,50_Customers,50,6,20,1000,0.000176,0.000141,0.000016,0.000114,284.17,360.08,30,30,142
40,50_Customers,50,6,50,200,0.000118,0.000102,0.000008,0.000083,422.48,493.84,30,30,100
41,50_Customers,50,6,50,500,0.000179,0.000137,0.000013,0.000116,279.86,367.10,30,30,200
42,50_Customers,50,6,50,1000,0.000200,0.000159,0.000017,0.000131,249.45,318.00,30,30,360
43,50_Customers,50,6,100,200,0.000111,0.000085,0.000009,0.000072,451.72,597.45,30,30,222
44,50_Customers,50,6,100,500,0.000163,0.000104,0.000020,0.000078,305.86,496.20,30,30,532
45,50_Customers,50,6,100,1000,0.000204,0.000121,0.000026,0.000084,245.36,429.36,30,30,1049
