Iterasi,P20_G200_10_Customers,P20_G500_10_Customers,P20_G1000_10_Customers,P50_G200_10_Customers,P50_G500_10_Customers,P50_G1000_10_Customers,P100_G200_10_Customers,P100_G500_10_Customers,P100_G1000_10_Customers,P20_G200_20_Customers,P20_G500_20_Customers,P20_G1000_20_Customers,P50_G200_20_Customers,P50_G500_20_Customers,P50_G1000_20_Customers,P100_G200_20_Customers,P100_G500_20_Customers,P100_G1000_20_Customers,P20_G200_30_Customers,P20_G500_30_Customers,P20_G1000_30_Customers,P50_G200_30_Customers,P50_G500_30_Customers,P50_G1000_30_Customers,P100_G200_30_Customers,P100_G500_30_Customers,P100_G1000_30_Customers,P20_G200_40_Customers,P20_G500_40_Customers,P20_G1000_40_Customers,P50_G200_40_Customers,P50_G500_40_Customers,P50_G1000_40_Customers,P100_G200_40_Customers,P100_G500_40_Customers,P100_G1000_40_Customers,P20_G200_50_Customers,P20_G500_50_Customers,P20_G1000_50_Customers,P50_G200_50_Customers,P50_G500_50_Customers,P50_G1000_50_Customers,P100_G200_50_Customers,P100_G500_50_Customers,P100_G1000_50_Customers
1,0.000114986239,0.000113784097,0.000115078345,0.000113841916,0.000121164258,0.000124459212,0.000127232011,0.000122231907,0.000127658745,0.000054547933,0.000056166251,0.000056140441,0.000062684050,0.000057626895,0.000060594165,0.000061601280,0.000061875900,0.000059431560,0.000033053752,0.000034241932,0.000035048590,0.000037097239,0.000037043232,0.000036253134,0.000037477005,0.000037264925,0.000038786700,0.000029558549,0.000029115773,0.000029519557,0.000029853875,0.000030741794,0.000030055483,0.000031679692,0.000031070528,0.000031642271,0.000018969860,0.000019467583,0.000019488225,0.000020006157,0.000019823613,0.000019927134,0.000021216405,0.000020406811,0.000020304472
2,0.000119126856,0.000120285540,0.000128767484,0.000134352239,0.000132224493,0.000133103076,0.000134613951,0.000136442566,0.000136869041,0.000060444669,0.000060597885,0.000060941471,0.000065150924,0.000061484859,0.000066595515,0.000070784187,0.000066363597,0.000065904777,0.000036293052,0.000035761384,0.000035845800,0.000040149899,0.000039422832,0.000037903414,0.000040624907,0.000038936836,0.000042086634,0.000030977291,0.000030061076,0.000031376286,0.000031446209,0.000032141169,0.000031727636,0.000034109250,0.000033478542,0.000033740626,0.000019355671,0.000020123464,0.000019921474,0.000020903144,0.000020599179,0.000020677922,0.000022294338,0.000021642003,0.000021509185
3,0.000128696811,0.000125678353,0.000130975841,0.000136488228,0.000135734653,0.000136402309,0.000137442905,0.000137400987,0.000138771390,0.000062430743,0.000062249338,0.000063562615,0.000068219713,0.000063832828,0.000071043351,0.000073454647,0.000070598109,0.000071966513,0.000039149890,0.000036780166,0.000037341144,0.000041799003,0.000040857583,0.000040966486,0.000043376704,0.000041114932,0.000042739550,0.000032172439,0.000031644448,0.000032179451,0.000033067476,0.000033597329,0.000032778729,0.000035028938,0.000034434574,0.000035535032,0.000020259758,0.000020624739,0.000021061320,0.000021268489,0.000021593817,0.000021278249,0.000023310143,0.000021780058,0.000022415459
4,0.000134433268,0.000128903512,0.000133016136,0.000137250013,0.000136587886,0.000138555422,0.000138630909,0.000137400987,0.000139316996,0.000065515108,0.000064563280,0.000064164069,0.000069210362,0.000066470081,0.000073891763,0.000076263608,0.000075234839,0.000076575699,0.000040036811,0.000038270381,0.000038833113,0.000043157870,0.000042769772,0.000042638216,0.000045960779,0.000044904242,0.000045020601,0.000032308509,0.000033352700,0.000032373448,0.000033894731,0.000034203953,0.000033568946,0.000036373751,0.000035526683,0.000036862047,0.000020686437,0.000020901654,0.000021176389,0.000021925076,0.000022289773,0.000022139959,0.000023995746,0.000022753218,0.000022920815
5,0.000135647023,0.000131658190,0.000133610820,0.000137250013,0.000137250013,0.000138555422,0.000138702035,0.000137993909,0.000139860830,0.000066419401,0.000065506095,0.000068272722,0.000073559626,0.000069884493,0.000075912577,0.000078150052,0.000078442174,0.000080628534,0.000040959794,0.000039489208,0.000039929886,0.000044411895,0.000043709060,0.000043776974,0.000047784320,0.000047815044,0.000046078509,0.000032660236,0.000034508612,0.000033768325,0.000034904152,0.000034802883,0.000034644698,0.000037392900,0.000036565332,0.000038453233,0.000021762158,0.000021041280,0.000021665116,0.000022634899,0.000022662670,0.000022771113,0.000024652427,0.000023003821,0.000023657669
6,0.000136223947,0.000134956685,0.000135888571,0.000137325500,0.000137632833,0.000139223831,0.000139245869,0.000138630909,0.000139860830,0.000068294727,0.000070021726,0.000069862218,0.000076051846,0.000073485326,0.000077057927,0.000082977576,0.000080181156,0.000083129782,0.000042212845,0.000039980315,0.000040555685,0.000045461661,0.000044621840,0.000045080435,0.000048867937,0.000049457543,0.000046970479,0.000034035604,0.000035021573,0.000034047222,0.000035558512,0.000035075587,0.000035811599,0.000037968017,0.000037255258,0.000038907890,0.000021883052,0.000021260477,0.000022278973,0.000023481663,0.000023192723,0.000022935762,0.000025539009,0.000023621047,0.000024221181
7,0.000136786026,0.000136559518,0.000136430583,0.000137400987,0.000137993909,0.000139245869,0.000139245869,0.000138938242,0.000139860830,0.000069061591,0.000071799453,0.000071731414,0.000077757184,0.000075697567,0.000079321666,0.000085247331,0.000082563447,0.000085027473,0.000043154257,0.000042346853,0.000042186865,0.000046121642,0.000046002789,0.000046607084,0.000050886377,0.000050177365,0.000049126536,0.000034228504,0.000035461244,0.000034963577,0.000036382626,0.000035576927,0.000036608076,0.000039041432,0.000038072242,0.000040057490,0.000022187521,0.000021666374,0.000022542489,0.000023721074,0.000023725840,0.000023472904,0.000025841649,0.000024533467,0.000024899638
8,0.000136786026,0.000137438923,0.000137227975,0.000138630909,0.000138015948,0.000139245869,0.000139277848,0.000139245869,0.000139860830,0.000070458718,0.000074254853,0.000072799240,0.000081200359,0.000076707932,0.000081397219,0.000086151978,0.000084472511,0.000086619162,0.000043771545,0.000042889204,0.000043295729,0.000046924710,0.000046779320,0.000047130096,0.000052983645,0.000050954886,0.000050164950,0.000034825367,0.000036078011,0.000035197838,0.000036834986,0.000036811995,0.000037492209,0.000039628976,0.000039594667,0.000040580783,0.000022548014,0.000022091797,0.000022542489,0.000024103136,0.000023746695,0.000023795388,0.000026273907,0.000025399488,0.000025278270
9,0.000136786026,0.000137460962,0.000137250013,0.000138630909,0.000138087074,0.000139245869,0.000139860830,0.000139245869,0.000139860830,0.000073388892,0.000074829900,0.000073954482,0.000082244379,0.000080034437,0.000082013418,0.000087357598,0.000087255131,0.000088641775,0.000044524269,0.000043448404,0.000044830243,0.000047858955,0.000047831576,0.000048192875,0.000054038371,0.000051352209,0.000050931502,0.000034825367,0.000036552726,0.000035558262,0.000037168122,0.000037638000,0.000037880994,0.000040063465,0.000040494677,0.000041204418,0.000022759678,0.000022550737,0.000022733927,0.000024890758,0.000024075216,0.000024306370,0.000026509930,0.000025881826,0.000025899503
10,0.000136786026,0.000137993909,0.000137250013,0.000138630909,0.000138662887,0.000139245869,0.000139860830,0.000139245869,0.000139860830,0.000074392814,0.000076768574,0.000074118778,0.000083557345,0.000080155866,0.000083733871,0.000088840799,0.000090518024,0.000089634453,0.000045695684,0.000044035136,0.000045518450,0.000048899981,0.000049054223,0.000049259354,0.000054789111,0.000052522392,0.000052907542,0.000035853467,0.000036927137,0.000037202138,0.000038365873,0.000037865624,0.000037925919,0.000041404073,0.000041178326,0.000042341325,0.000022991398,0.000022819592,0.000023242226,0.000025101248,0.000024369431,0.000024632649,0.000027190692,0.000026298746,0.000026211961
