100,100
40,5
id,x,y,type
0,75,69,DEPOT
1,80,44,CUSTOMER
2,71,22,CUSTOMER
3,57,15,CUSTOMER
4,41,31,CUSTOMER
5,68,33,CUSTOMER
6,50,27,CUSTOMER
7,18,5,CUSTOMER
8,20,26,CUSTOMER
9,38,41,CUSTOMER
10,94,0,CUSTOMER
11,21,15,CUSTOMER
12,84,66,CUSTOMER
13,94,63,CUSTOMER
14,64,85,CUSTOMER
15,25,65,CUSTOMER
16,25,95,CUSTOMER
17,37,56,CUSTOMER
18,30,40,CUSTOMER
19,70,89,CUSTOMER
20,87,79,CUSTOMER
21,63,33,CUSTOMER
22,4,55,CUSTOMER
23,11,61,CUSTOMER
24,84,40,CUSTOMER
25,99,42,CUSTOMER
26,71,96,CUSTOMER
27,70,17,CUSTOMER
28,22,73,CUSTOMER
29,81,22,CUSTOMER
30,93,47,CUSTOMER
31,45,18,CUSTOMER
32,66,80,CUSTOMER
33,23,80,CUSTOMER
34,74,12,CUSTOMER
35,48,50,CUSTOMER
36,33,35,CUSTOMER
37,28,83,CUSTOMER
38,98,62,CUSTOMER
39,100,38,CUSTOMER
40,69,78,CUSTOMER
41,53,59,CHARGING
42,44,26,CHARGING
43,22,62,CHARGING
44,77,69,CHARGING
45,35,16,CHARGING
