100,100
50,6
id,x,y,type
0,36,18,DEPOT
1,27,66,CUSTOMER
2,72,56,CUSTOMER
3,68,7,CUSTOMER
4,77,43,CUSTOMER
5,17,73,CUSTOMER
6,72,25,CUSTOMER
7,3,97,CUSTOMER
8,2,18,CUSTOMER
9,43,19,CUSTOMER
10,0,85,CUSTOMER
11,9,82,CUSTOMER
12,75,69,CUSTOMER
13,45,82,CUSTOMER
14,64,65,CUSTOMER
15,100,81,CUSTOMER
16,72,90,CUSTOMER
17,52,80,CUSTOMER
18,31,86,CUSTOMER
19,59,27,CUSTOMER
20,26,68,CUSTOMER
21,74,100,CUSTOMER
22,59,55,CUSTOMER
23,11,78,CUSTOMER
24,99,71,CUSTOMER
25,75,2,CUSTOMER
26,100,79,CUSTOMER
27,12,16,CUSTOMER
28,47,89,CUSTOMER
29,77,37,CUSTOMER
30,47,38,CUSTOMER
31,89,72,CUSTOMER
32,98,29,CUSTOMER
33,0,78,CUSTOMER
34,98,57,CUSTOMER
35,88,55,CUSTOMER
36,17,84,CUSTOMER
37,22,28,CUSTOMER
38,20,13,CUSTOMER
39,15,29,CUSTOMER
40,15,77,CUSTOMER
41,73,55,CUSTOMER
42,95,34,CUSTOMER
43,10,10,CUSTOMER
44,5,74,CUSTOMER
45,80,0,CUSTOMER
46,32,48,CUSTOMER
47,82,91,CUSTOMER
48,64,15,CUSTOMER
49,41,63,CUSTOMER
50,80,12,CUSTOMER
51,5,55,CHARGING
52,42,72,CHARGING
53,30,26,CHARGING
54,94,30,CHARGING
55,50,91,CHARGING
56,70,52,CHARGING
