No,Dataset,Customers,CS,PopSize,MaxIter,BestFitness,AvgFitness,StdFitness,WorstFitness,BestDistance,AvgDistance,FeasibleCount,TotalRuns,AvgTimeMs
1,10_Customers,10,2,20,200,0.000140,0.000134,0.000010,0.000105,357.45,375.98,10,10,11
2,10_Customers,10,2,20,500,0.000140,0.000139,0.000002,0.000134,357.45,360.74,10,10,10
3,10_Customers,10,2,20,1000,0.000140,0.000138,0.000003,0.000134,357.45,362.38,10,10,10
4,10_Customers,10,2,50,200,0.000140,0.000137,0.000003,0.000134,357.45,364.77,10,10,5
5,10_Customers,10,2,50,500,0.000140,0.000139,0.000002,0.000134,357.45,359.09,10,10,12
6,10_Customers,10,2,50,1000,0.000140,0.000139,0.000002,0.000134,357.45,360.74,10,10,24
7,10_Customers,10,2,100,200,0.000140,0.000139,0.000002,0.000134,357.45,359.09,10,10,10
8,10_Customers,10,2,100,500,0.000140,0.000138,0.000003,0.000134,357.45,362.38,10,10,23
9,10_Customers,10,2,100,1000,0.000140,0.000140,0.000000,0.000140,357.45,357.45,10,10,46
10,20_Customers,20,3,20,200,0.000103,0.000090,0.000008,0.000081,484.89,558.14,10,10,10
11,20_Customers,20,3,20,500,0.000108,0.000104,0.000003,0.000098,463.20,481.95,10,10,10
12,20_Customers,20,3,20,1000,0.000110,0.000100,0.000009,0.000078,453.92,502.36,10,10,19
13,20_Customers,20,3,50,200,0.000104,0.000101,0.000004,0.000090,480.16,494.42,10,10,13
14,20_Customers,20,3,50,500,0.000110,0.000105,0.000004,0.000096,454.63,477.64,10,10,25
15,20_Customers,20,3,50,1000,0.000110,0.000101,0.000007,0.000085,454.63,496.57,10,10,49
16,20_Customers,20,3,100,200,0.000105,0.000101,0.000004,0.000092,477.38,498.01,10,10,26
17,20_Customers,20,3,100,500,0.000108,0.000101,0.000007,0.000083,463.57,494.94,10,10,53
18,20_Customers,20,3,100,1000,0.000107,0.000100,0.000004,0.000091,468.74,499.09,10,10,102
19,30_Customers,30,4,20,200,0.000073,0.000064,0.000005,0.000056,688.14,782.58,10,10,8
20,30_Customers,30,4,20,500,0.000077,0.000069,0.000005,0.000062,646.43,732.61,10,10,19
21,30_Customers,30,4,20,1000,0.000083,0.000076,0.000006,0.000063,603.05,661.74,10,10,35
22,30_Customers,30,4,50,200,0.000078,0.000072,0.000003,0.000066,639.54,695.72,10,10,23
23,30_Customers,30,4,50,500,0.000083,0.000077,0.000003,0.000070,599.96,654.35,10,10,48
24,30_Customers,30,4,50,1000,0.000086,0.000081,0.000003,0.000076,584.31,621.29,10,10,88
25,30_Customers,30,4,100,200,0.000076,0.000068,0.000005,0.000057,655.71,736.22,10,10,50
26,30_Customers,30,4,100,500,0.000083,0.000078,0.000003,0.000073,605.83,644.88,10,10,105
27,30_Customers,30,4,100,1000,0.000087,0.000081,0.000004,0.000072,577.79,615.50,10,10,192
28,40_Customers,40,5,20,200,0.000054,0.000049,0.000003,0.000045,917.65,1032.24,10,10,11
29,40_Customers,40,5,20,500,0.000071,0.000061,0.000004,0.000057,705.97,822.72,10,10,25
30,40_Customers,40,5,20,1000,0.000078,0.000070,0.000005,0.000063,643.29,721.37,10,10,48
31,40_Customers,40,5,50,200,0.000069,0.000057,0.000005,0.000052,727.19,881.49,10,10,29
32,40_Customers,40,5,50,500,0.000076,0.000067,0.000007,0.000055,656.31,756.89,10,10,63
33,40_Customers,40,5,50,1000,0.000080,0.000074,0.000005,0.000062,625.29,683.12,10,10,118
34,40_Customers,40,5,100,200,0.000068,0.000055,0.000005,0.000049,735.61,915.07,10,10,70
35,40_Customers,40,5,100,500,0.000086,0.000072,0.000008,0.000059,580.28,701.08,10,10,146
36,40_Customers,40,5,100,1000,0.000081,0.000074,0.000005,0.000063,614.85,679.55,10,10,253
37,50_Customers,50,6,20,200,0.000040,0.000034,0.000003,0.000028,1259.08,1500.96,10,10,26
38,50_Customers,50,6,20,500,0.000049,0.000041,0.000004,0.000037,1014.03,1230.82,10,10,58
39,50_Customers,50,6,20,1000,0.000060,0.000048,0.000005,0.000043,826.96,1053.20,10,10,108
40,50_Customers,50,6,50,200,0.000048,0.000040,0.000005,0.000032,1036.87,1272.78,10,10,78
41,50_Customers,50,6,50,500,0.000055,0.000049,0.000005,0.000040,910.42,1038.19,10,10,147
42,50_Customers,50,6,50,1000,0.000062,0.000054,0.000005,0.000046,806.40,940.09,10,10,259
43,50_Customers,50,6,100,200,0.000046,0.000039,0.000004,0.000034,1075.47,1283.66,10,10,134
44,50_Customers,50,6,100,500,0.000059,0.000050,0.000005,0.000042,854.35,1019.07,10,10,284
45,50_Customers,50,6,100,1000,0.000064,0.000055,0.000005,0.000047,787.06,910.19,10,10,540
