No,Dataset,PopSize,MaxIter,Fitness,TotalDistance,TotalEnergy,RechargeCount,Feasible,Route
1,10_Customers,20,200,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V1 -> V3 -> V5 -> CS1 -> V10 -> V9 -> V2 -> V4 -> V7 -> V6 -> V8 -> V0(Depot)"
2,10_Customers,20,500,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V1 -> V3 -> V5 -> CS1 -> V10 -> V9 -> V2 -> V4 -> V7 -> V6 -> V8 -> V0(Depot)"
3,10_Customers,20,1000,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V1 -> V3 -> V5 -> CS1 -> V10 -> V9 -> V2 -> V4 -> V7 -> V6 -> V8 -> V0(Depot)"
4,10_Customers,50,200,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
5,10_Customers,50,500,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
6,10_Customers,50,1000,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V1 -> V3 -> V5 -> CS1 -> V10 -> V9 -> V2 -> V4 -> V7 -> V6 -> V8 -> V0(Depot)"
7,10_Customers,100,200,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
8,10_Customers,100,500,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V1 -> V3 -> V5 -> CS1 -> V10 -> V9 -> V2 -> V4 -> V7 -> V6 -> V8 -> V0(Depot)"
9,10_Customers,100,1000,0.000140,357.45,7148.96,1,YA,"V0(Depot) -> V8 -> V6 -> V7 -> V4 -> V2 -> V9 -> V10 -> CS1 -> V5 -> V3 -> V1 -> V0(Depot)"
10,20_Customers,20,200,0.000103,484.89,9697.89,2,YA,"V0(Depot) -> V10 -> V14 -> V20 -> V18 -> V19 -> V16 -> V2 -> V13 -> CS1 -> V15 -> V11 -> V6 -> V5 -> V1 -> CS1 -> V9 -> V7 -> V4 -> V12 -> V8 -> V3 -> V17 -> V0(Depot)"
11,20_Customers,20,500,0.000108,463.20,9263.96,2,YA,"V0(Depot) -> V17 -> V10 -> V14 -> V20 -> V18 -> V19 -> V16 -> V2 -> V1 -> CS3 -> V5 -> V6 -> V11 -> V15 -> V13 -> CS1 -> V9 -> V7 -> V4 -> V12 -> V8 -> V3 -> V0(Depot)"
12,20_Customers,20,1000,0.000110,453.92,9078.40,2,YA,"V0(Depot) -> V17 -> V10 -> V14 -> V20 -> V18 -> V19 -> V5 -> CS3 -> V16 -> V1 -> V6 -> V15 -> V11 -> V2 -> V13 -> CS1 -> V9 -> V7 -> V4 -> V12 -> V8 -> V3 -> V0(Depot)"
13,20_Customers,50,200,0.000104,480.16,9603.25,2,YA,"V0(Depot) -> V10 -> V18 -> V14 -> V20 -> V5 -> V19 -> CS3 -> V6 -> V11 -> V15 -> V1 -> V16 -> V2 -> V13 -> CS1 -> V9 -> V7 -> V4 -> V12 -> V8 -> V3 -> V17 -> V0(Depot)"
14,20_Customers,50,500,0.000110,454.63,9092.52,2,YA,"V0(Depot) -> V17 -> V10 -> V14 -> V20 -> V18 -> V19 -> V5 -> CS3 -> V16 -> V1 -> V6 -> V11 -> V15 -> V13 -> V2 -> CS1 -> V9 -> V7 -> V4 -> V12 -> V8 -> V3 -> V0(Depot)"
15,20_Customers,50,1000,0.000110,454.63,9092.52,2,YA,"V0(Depot) -> V17 -> V10 -> V14 -> V20 -> V18 -> V19 -> V5 -> CS3 -> V16 -> V1 -> V6 -> V11 -> V15 -> V13 -> V2 -> CS1 -> V9 -> V7 -> V4 -> V12 -> V8 -> V3 -> V0(Depot)"
