No,Dataset,Customers,CS,PopSize,MaxIter,BestFitness,AvgFitness,StdFitness,WorstFitness,BestDistance,AvgDistance,FeasibleCount,TotalRuns,AvgTimeMs
1,10_Customers,10,2,20,200,0.000140,0.000117,0.000016,0.000099,357.45,433.56,10,10,10
2,10_Customers,10,2,20,500,0.000140,0.000120,0.000013,0.000104,357.45,421.37,10,10,22
3,10_Customers,10,2,20,1000,0.000140,0.000129,0.000015,0.000093,357.45,395.42,10,10,9
4,10_Customers,10,2,50,200,0.000140,0.000123,0.000014,0.000103,357.45,412.42,10,10,5
5,10_Customers,10,2,50,500,0.000140,0.000121,0.000016,0.000104,357.45,418.77,10,10,14
6,10_Customers,10,2,50,1000,0.000140,0.000124,0.000015,0.000104,357.45,409.11,10,10,27
7,10_Customers,10,2,100,200,0.000140,0.000132,0.000012,0.000105,357.45,383.36,10,10,12
8,10_Customers,10,2,100,500,0.000140,0.000133,0.000008,0.000115,357.45,377.45,10,10,23
9,10_Customers,10,2,100,1000,0.000140,0.000134,0.000010,0.000114,357.45,374.28,10,10,44
10,20_Customers,20,3,20,200,0.000078,0.000069,0.000006,0.000058,637.04,735.36,10,10,12
11,20_Customers,20,3,20,500,0.000078,0.000069,0.000006,0.000059,637.50,729.83,10,10,16
12,20_Customers,20,3,20,1000,0.000085,0.000074,0.000007,0.000065,585.94,678.84,10,10,32
13,20_Customers,20,3,50,200,0.000087,0.000072,0.000008,0.000060,576.76,699.45,10,10,17
14,20_Customers,20,3,50,500,0.000098,0.000080,0.000008,0.000068,512.39,628.54,10,10,45
15,20_Customers,20,3,50,1000,0.000096,0.000077,0.000009,0.000063,522.03,661.06,10,10,68
16,20_Customers,20,3,100,200,0.000095,0.000078,0.000011,0.000064,524.05,652.53,10,10,28
17,20_Customers,20,3,100,500,0.000099,0.000080,0.000010,0.000064,502.77,633.21,10,10,71
18,20_Customers,20,3,100,1000,0.000103,0.000083,0.000014,0.000060,486.65,622.72,10,10,132
19,30_Customers,30,4,20,200,0.000052,0.000045,0.000003,0.000041,963.88,1125.65,10,10,14
20,30_Customers,30,4,20,500,0.000051,0.000047,0.000004,0.000039,977.30,1082.01,10,10,33
21,30_Customers,30,4,20,1000,0.000053,0.000045,0.000005,0.000038,949.01,1113.62,10,10,59
22,30_Customers,30,4,50,200,0.000052,0.000045,0.000005,0.000037,964.89,1114.32,10,10,32
23,30_Customers,30,4,50,500,0.000056,0.000049,0.000003,0.000045,890.80,1024.87,10,10,79
24,30_Customers,30,4,50,1000,0.000060,0.000051,0.000004,0.000047,838.64,980.44,10,10,143
25,30_Customers,30,4,100,200,0.000052,0.000047,0.000003,0.000041,952.63,1067.17,10,10,67
26,30_Customers,30,4,100,500,0.000061,0.000051,0.000005,0.000044,822.01,988.60,10,10,144
27,30_Customers,30,4,100,1000,0.000068,0.000054,0.000007,0.000046,735.51,945.71,10,10,266
28,40_Customers,40,5,20,200,0.000041,0.000036,0.000003,0.000032,1220.82,1395.06,10,10,18
29,40_Customers,40,5,20,500,0.000041,0.000035,0.000002,0.000032,1206.36,1431.81,10,10,43
30,40_Customers,40,5,20,1000,0.000037,0.000036,0.000001,0.000032,1341.21,1398.23,10,10,86
31,40_Customers,40,5,50,200,0.000041,0.000037,0.000003,0.000033,1205.48,1371.81,10,10,48
32,40_Customers,40,5,50,500,0.000043,0.000039,0.000003,0.000034,1173.07,1304.58,10,10,104
33,40_Customers,40,5,50,1000,0.000043,0.000037,0.000004,0.000030,1176.07,1364.74,10,10,191
34,40_Customers,40,5,100,200,0.000043,0.000039,0.000003,0.000034,1157.47,1293.87,10,10,90
35,40_Customers,40,5,100,500,0.000045,0.000041,0.000003,0.000034,1114.25,1228.97,10,10,212
36,40_Customers,40,5,100,1000,0.000046,0.000041,0.000003,0.000036,1092.11,1233.25,10,10,375
37,50_Customers,50,6,20,200,0.000028,0.000024,0.000002,0.000021,1814.04,2075.95,10,10,41
38,50_Customers,50,6,20,500,0.000025,0.000023,0.000001,0.000022,1998.32,2193.02,10,10,93
39,50_Customers,50,6,20,1000,0.000027,0.000024,0.000002,0.000022,1837.42,2062.36,10,10,172
40,50_Customers,50,6,50,200,0.000029,0.000026,0.000001,0.000024,1735.95,1930.15,10,10,93
41,50_Customers,50,6,50,500,0.000028,0.000026,0.000001,0.000023,1771.81,1956.58,10,10,227
42,50_Customers,50,6,50,1000,0.000034,0.000028,0.000003,0.000024,1491.59,1831.16,10,10,416
43,50_Customers,50,6,100,200,0.000032,0.000027,0.000003,0.000021,1570.47,1896.74,10,10,186
44,50_Customers,50,6,100,500,0.000030,0.000027,0.000002,0.000024,1665.38,1846.67,10,10,441
45,50_Customers,50,6,100,1000,0.000034,0.000029,0.000003,0.000025,1474.21,1722.50,10,10,815
