Iterasi,P20_G200_10_Customers,P20_G500_10_Customers,P20_G1000_10_Customers,P50_G200_10_Customers,P50_G500_10_Customers,P50_G1000_10_Customers,P100_G200_10_Customers,P100_G500_10_Customers,P100_G1000_10_Customers,P20_G200_20_Customers,P20_G500_20_Customers,P20_G1000_20_Customers,P50_G200_20_Customers,P50_G500_20_Customers,P50_G1000_20_Customers,P100_G200_20_Customers,P100_G500_20_Customers,P100_G1000_20_Customers,P20_G200_30_Customers,P20_G500_30_Customers,P20_G1000_30_Customers,P50_G200_30_Customers,P50_G500_30_Customers,P50_G1000_30_Customers,P100_G200_30_Customers,P100_G500_30_Customers,P100_G1000_30_Customers,P20_G200_40_Customers,P20_G500_40_Customers,P20_G1000_40_Customers,P50_G200_40_Customers,P50_G500_40_Customers,P50_G1000_40_Customers,P100_G200_40_Customers,P100_G500_40_Customers,P100_G1000_40_Customers,P20_G200_50_Customers,P20_G500_50_Customers,P20_G1000_50_Customers,P50_G200_50_Customers,P50_G500_50_Customers,P50_G1000_50_Customers,P100_G200_50_Customers,P100_G500_50_Customers,P100_G1000_50_Customers
1,0.000331545569,0.000329402309,0.000317826500,0.000352938578,0.000349254952,0.000344878295,0.000381212939,0.000371409939,0.000367289104,0.000188722749,0.000189674587,0.000184907044,0.000197266052,0.000196810527,0.000201284744,0.000212716719,0.000205146786,0.000204029369,0.000099920026,0.000100289075,0.000101780251,0.000105032548,0.000105292051,0.000106271243,0.000108445449,0.000107677003,0.000109534655,0.000058600738,0.000059409528,0.000058807138,0.000061463445,0.000061003386,0.000062239314,0.000063997700,0.000063616620,0.000063984646,0.000041908869,0.000045554439,0.000041860892,0.000050008691,0.000049621097,0.000048230638,0.000052609166,0.000052180836,0.000052274557
2,0.000339129419,0.000345041399,0.000330815303,0.000375711539,0.000378348968,0.000360898819,0.000400461059,0.000376245650,0.000375852193,0.000196483410,0.000195728320,0.000193155575,0.000206764278,0.000201187915,0.000203660371,0.000218395445,0.000208799896,0.000212558022,0.000101199638,0.000102386841,0.000102953579,0.000106365223,0.000107623939,0.000107677133,0.000110444497,0.000110180270,0.000113411595,0.000060375494,0.000060039186,0.000060193979,0.000064386003,0.000063440078,0.000063490901,0.000065834630,0.000065104673,0.000065347939,0.000045690061,0.000047871017,0.000045419267,0.000050983604,0.000050538548,0.000051063200,0.000053790789,0.000052661110,0.000053163501
3,0.000341785419,0.000352978923,0.000336415365,0.000384772035,0.000386412291,0.000372232894,0.000405966663,0.000390102186,0.000382435567,0.000202037681,0.000198238681,0.000196897694,0.000210621543,0.000206446298,0.000207249786,0.000222735384,0.000214207524,0.000216349238,0.000103386129,0.000103952253,0.000103864730,0.000107939440,0.000108232924,0.000108178836,0.000111131505,0.000111022720,0.000114763628,0.000061245153,0.000060882316,0.000061427515,0.000065009619,0.000064176910,0.000064621217,0.000066380165,0.000066123371,0.000066417424,0.000049060928,0.000048729848,0.000049035522,0.000052102299,0.000051143823,0.000052140500,0.000053840043,0.000053715433,0.000053437613
4,0.000345479740,0.000364086846,0.000344551258,0.000392847267,0.000393822481,0.000378901798,0.000407730239,0.000399506977,0.000390435262,0.000203499478,0.000200680882,0.000200022626,0.000215368867,0.000208094702,0.000209736750,0.000225758070,0.000219510238,0.000220880722,0.000105127793,0.000104686425,0.000105362345,0.000109305169,0.000108801267,0.000108437879,0.000112083437,0.000112136231,0.000116391175,0.000062352429,0.000061296550,0.000061779393,0.000065886244,0.000064762108,0.000065128698,0.000066656182,0.000067159317,0.000066996452,0.000049582158,0.000050620964,0.000050045673,0.000052819966,0.000051623786,0.000053064207,0.000054223632,0.000053882994,0.000054052339
5,0.000355641336,0.000374639336,0.000357898662,0.000398739914,0.000401817249,0.000384012079,0.000408569122,0.000408452030,0.000399848371,0.000206149493,0.000201757747,0.000203678212,0.000219401616,0.000210873352,0.000211344091,0.000228999520,0.000221428802,0.000225208320,0.000106553941,0.000104995529,0.000105954861,0.000110627594,0.000109511004,0.000108946559,0.000113664161,0.000113586336,0.000116696262,0.000062565309,0.000061850921,0.000062295863,0.000066116108,0.000065387101,0.000065462501,0.000067274297,0.000067190941,0.000067633768,0.000051513243,0.000050701007,0.000050698663,0.000053131515,0.000051930183,0.000053773404,0.000054247056,0.000054355378,0.000054402355
6,0.000362905957,0.000378215955,0.000360756199,0.000400853279,0.000410722928,0.000389180552,0.000413018429,0.000414588978,0.000406667451,0.000209081876,0.000203932383,0.000205716249,0.000221683063,0.000212583043,0.000214935923,0.000232973194,0.000222707520,0.000227800274,0.000107573016,0.000106091152,0.000106735709,0.000111501706,0.000111052296,0.000109665234,0.000113992995,0.000114835106,0.000117661779,0.000063425723,0.000062289824,0.000063165125,0.000066289310,0.000066318701,0.000066169998,0.000067964793,0.000067677335,0.000068322853,0.000051614115,0.000051031364,0.000051169224,0.000053577984,0.000052437770,0.000054637838,0.000054715943,0.000054483235,0.000054711579
7,0.000369334864,0.000381456497,0.000363662789,0.000401351098,0.000420075494,0.000394311919,0.000415212035,0.000420821405,0.000409170476,0.000209612522,0.000205538789,0.000207937371,0.000222284928,0.000214043758,0.000217210668,0.000235010610,0.000225572924,0.000231918476,0.000108097957,0.000106770905,0.000107885772,0.000112048280,0.000111801116,0.000109957322,0.000114931019,0.000115377128,0.000118026647,0.000063922855,0.000063260527,0.000064216985,0.000066809843,0.000067296625,0.000066696892,0.000068275437,0.000068119898,0.000068744642,0.000051629216,0.000051424499,0.000051244410,0.000053647220,0.000052772401,0.000054797768,0.000055155841,0.000054821683,0.000054871072
8,0.000378717694,0.000384099787,0.000367396452,0.000403480669,0.000423074096,0.000396642888,0.000415832856,0.000424505485,0.000411994679,0.000212877735,0.000207326751,0.000208802237,0.000224484569,0.000218090355,0.000218794463,0.000239447776,0.000227130569,0.000233148436,0.000108343470,0.000107334382,0.000108793764,0.000112408737,0.000112668598,0.000110410029,0.000115837539,0.000115606301,0.000118497165,0.000064187295,0.000063801456,0.000064409407,0.000067818453,0.000067593532,0.000067110369,0.000069592956,0.000069009905,0.000069110072,0.000051900502,0.000051542405,0.000051408632,0.000053790778,0.000052939333,0.000055249494,0.000055620948,0.000055496399,0.000054889119
9,0.000383212814,0.000388227278,0.000375224236,0.000403692948,0.000427719655,0.000398704405,0.000417422276,0.000427177370,0.000414696161,0.000214092050,0.000209288005,0.000209528108,0.000226935644,0.000219886819,0.000221447996,0.000242248560,0.000228917394,0.000235680899,0.000108905926,0.000108154619,0.000109153132,0.000112846685,0.000113250042,0.000110475347,0.000116467158,0.000115670373,0.000120020030,0.000064701594,0.000063945455,0.000064959868,0.000068207352,0.000067824790,0.000067248025,0.000069762284,0.000069182843,0.000070152695,0.000052149455,0.000051580207,0.000051439314,0.000053920657,0.000053161589,0.000055438231,0.000055964152,0.000056018607,0.000055533876
10,0.000386471934,0.000389678055,0.000376600693,0.000406304170,0.000429129837,0.000401965889,0.000417430279,0.000428562963,0.000418658868,0.000214471129,0.000210549636,0.000210211498,0.000228354870,0.000221993699,0.000223667287,0.000243081299,0.000231574905,0.000237794244,0.000110032606,0.000108372679,0.000109713483,0.000113009798,0.000113644391,0.000110527804,0.000116807579,0.000116920909,0.000120481414,0.000065107577,0.000064045468,0.000065269884,0.000068252750,0.000068364718,0.000067704766,0.000070257830,0.000069497931,0.000070743791,0.000052541154,0.000051970626,0.000051697835,0.000053971836,0.000053302670,0.000055501485,0.000056165176,0.000056112438,0.000055544471
