No,Dataset,PopSize,MaxIter,Fitness,TotalDistance,TotalEnergy,RechargeCount,Feasible,Route
1,10_Customers,20,200,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
2,10_Customers,20,500,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
3,10_Customers,20,1000,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
4,10_Customers,50,200,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
5,10_Customers,50,500,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
6,10_Customers,50,1000,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
7,10_Customers,100,200,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
8,10_Customers,100,500,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
9,10_Customers,100,1000,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
10,20_Customers,20,200,0.000344,145.43,2908.51,3,YA,"V0(Depot) -> V18 -> V7 -> V3 -> V14 -> V11 -> V12 -> CS2 -> V19 -> V9 -> V6 -> V10 -> V17 -> V8 -> V16 -> V4 -> CS3 -> V1 -> V15 -> V20 -> V2 -> V5 -> CS1 -> V13 -> V0(Depot)"
11,20_Customers,20,500,0.000349,143.21,2864.17,2,YA,"V0(Depot) -> V13 -> V18 -> V16 -> V7 -> V17 -> V1 -> CS3 -> V14 -> V20 -> V11 -> V12 -> V9 -> V19 -> V6 -> CS2 -> V10 -> V3 -> V8 -> V4 -> V2 -> V5 -> V15 -> V0(Depot)"
