No,Dataset,Customers,CS,PopSize,MaxIter,BestFitness,AvgFitness,StdFitness,WorstFitness,BestDistance,AvgDistance,FeasibleCount,TotalRuns,AvgTimeMs
1,10_Customers,10,2,20,200,0.000140,0.000139,0.000002,0.000134,357.45,360.74,10,10,28
2,10_Customers,10,2,20,500,0.000140,0.000140,0.000000,0.000140,357.45,357.45,10,10,31
3,10_Customers,10,2,20,1000,0.000140,0.000140,0.000000,0.000140,357.45,357.45,10,10,62
4,10_Customers,10,2,50,200,0.000140,0.000140,0.000000,0.000140,357.45,357.45,10,10,30
5,10_Customers,10,2,50,500,0.000140,0.000140,0.000000,0.000140,357.45,357.45,10,10,70
6,10_Customers,10,2,50,1000,0.000140,0.000140,0.000000,0.000140,357.45,357.45,10,10,140
7,10_Customers,10,2,100,200,0.000140,0.000140,0.000000,0.000140,357.45,357.45,10,10,58
8,10_Customers,10,2,100,500,0.000140,0.000140,0.000000,0.000140,357.45,357.45,10,10,139
9,10_Customers,10,2,100,1000,0.000140,0.000140,0.000000,0.000140,357.45,357.45,10,10,279
10,20_Customers,20,3,20,200,0.000110,0.000102,0.000005,0.000093,454.63,489.50,10,10,31
11,20_Customers,20,3,20,500,0.000110,0.000107,0.000005,0.000093,453.92,469.48,10,10,68
12,20_Customers,20,3,20,1000,0.000110,0.000108,0.000003,0.000103,454.63,463.38,10,10,131
13,20_Customers,20,3,50,200,0.000110,0.000107,0.000004,0.000098,453.92,469.07,10,10,68
14,20_Customers,20,3,50,500,0.000110,0.000106,0.000005,0.000096,453.92,474.41,10,10,165
15,20_Customers,20,3,50,1000,0.000110,0.000107,0.000004,0.000100,453.92,466.17,10,10,325
16,20_Customers,20,3,100,200,0.000110,0.000107,0.000004,0.000099,453.92,467.10,10,10,138
17,20_Customers,20,3,100,500,0.000110,0.000107,0.000004,0.000098,453.92,467.57,10,10,325
18,20_Customers,20,3,100,1000,0.000110,0.000108,0.000004,0.000099,453.92,464.91,10,10,651
19,30_Customers,30,4,20,200,0.000088,0.000080,0.000005,0.000069,565.55,630.72,10,10,60
20,30_Customers,30,4,20,500,0.000086,0.000082,0.000004,0.000071,582.88,609.99,10,10,129
21,30_Customers,30,4,20,1000,0.000090,0.000082,0.000005,0.000075,557.25,613.91,10,10,255
22,30_Customers,30,4,50,200,0.000090,0.000080,0.000006,0.000066,557.25,631.28,10,10,142
23,30_Customers,30,4,50,500,0.000084,0.000076,0.000007,0.000060,598.05,661.31,10,10,335
24,30_Customers,30,4,50,1000,0.000090,0.000082,0.000004,0.000077,553.89,607.78,10,10,623
25,30_Customers,30,4,100,200,0.000095,0.000086,0.000006,0.000077,523.62,585.70,10,10,264
26,30_Customers,30,4,100,500,0.000090,0.000083,0.000004,0.000074,557.25,600.91,10,10,653
27,30_Customers,30,4,100,1000,0.000088,0.000080,0.000005,0.000070,567.94,629.39,10,10,1248
28,40_Customers,40,5,20,200,0.000077,0.000071,0.000004,0.000064,649.73,704.68,10,10,77
29,40_Customers,40,5,20,500,0.000083,0.000075,0.000007,0.000061,605.94,676.30,10,10,179
30,40_Customers,40,5,20,1000,0.000087,0.000079,0.000004,0.000071,572.46,638.17,10,10,322
31,40_Customers,40,5,50,200,0.000091,0.000078,0.000006,0.000069,552.15,646.18,10,10,187
32,40_Customers,40,5,50,500,0.000081,0.000078,0.000002,0.000075,615.08,639.46,10,10,409
33,40_Customers,40,5,50,1000,0.000088,0.000081,0.000003,0.000076,565.38,618.11,10,10,795
34,40_Customers,40,5,100,200,0.000086,0.000077,0.000003,0.000074,580.70,654.61,10,10,412
35,40_Customers,40,5,100,500,0.000085,0.000081,0.000002,0.000077,586.34,617.41,10,10,846
36,40_Customers,40,5,100,1000,0.000087,0.000081,0.000004,0.000073,573.61,619.99,10,10,1602
37,50_Customers,50,6,20,200,0.000064,0.000051,0.000005,0.000045,786.99,985.59,10,10,182
38,50_Customers,50,6,20,500,0.000066,0.000059,0.000005,0.000051,753.64,857.43,10,10,386
39,50_Customers,50,6,20,1000,0.000075,0.000067,0.000006,0.000057,669.43,749.76,10,10,701
40,50_Customers,50,6,50,200,0.000065,0.000060,0.000004,0.000050,764.55,835.98,10,10,433
41,50_Customers,50,6,50,500,0.000071,0.000065,0.000005,0.000053,700.81,769.96,10,10,919
42,50_Customers,50,6,50,1000,0.000071,0.000062,0.000007,0.000043,702.94,823.10,10,10,1772
43,50_Customers,50,6,100,200,0.000078,0.000068,0.000007,0.000059,641.49,741.32,10,10,822
44,50_Customers,50,6,100,500,0.000080,0.000069,0.000008,0.000056,624.51,734.88,10,10,1784
45,50_Customers,50,6,100,1000,0.000080,0.000068,0.000006,0.000057,627.19,735.83,10,10,3258
