Iterasi,P20_G200_10_Customers,P20_G500_10_Customers,P20_G1000_10_Customers,P50_G200_10_Customers,P50_G500_10_Customers,P50_G1000_10_Customers,P100_G200_10_Customers,P100_G500_10_Customers,P100_G1000_10_Customers,P20_G200_20_Customers,P20_G500_20_Customers,P20_G1000_20_Customers,P50_G200_20_Customers,P50_G500_20_Customers,P50_G1000_20_Customers,P100_G200_20_Customers,P100_G500_20_Customers,P100_G1000_20_Customers,P20_G200_30_Customers,P20_G500_30_Customers,P20_G1000_30_Customers,P50_G200_30_Customers,P50_G500_30_Customers,P50_G1000_30_Customers,P100_G200_30_Customers,P100_G500_30_Customers,P100_G1000_30_Customers,P20_G200_40_Customers,P20_G500_40_Customers,P20_G1000_40_Customers,P50_G200_40_Customers,P50_G500_40_Customers,P50_G1000_40_Customers,P100_G200_40_Customers,P100_G500_40_Customers,P100_G1000_40_Customers,P20_G200_50_Customers,P20_G500_50_Customers,P20_G1000_50_Customers,P50_G200_50_Customers,P50_G500_50_Customers,P50_G1000_50_Customers,P100_G200_50_Customers,P100_G500_50_Customers,P100_G1000_50_Customers
1,0.000381288519,0.000395520918,0.000389927750,0.000412919439,0.000418766625,0.000414221125,0.000434340688,0.000429620228,0.000436842869,0.000214467906,0.000218348021,0.000213572550,0.000228107944,0.000232896295,0.000230452877,0.000239117363,0.000235544640,0.000233197375,0.000110930781,0.000110193208,0.000111485467,0.000115725588,0.000116071315,0.000115083484,0.000121185945,0.000118082228,0.000116945740,0.000065865263,0.000065368337,0.000065944235,0.000069341411,0.000071076729,0.000068933101,0.000072307139,0.000071887919,0.000071491029,0.000049162217,0.000047510750,0.000050032415,0.000053807221,0.000054626190,0.000054412463,0.000056665509,0.000056495665,0.000055911059
2,0.000423205668,0.000420163009,0.000417078892,0.000455550253,0.000451873884,0.000448237676,0.000467351357,0.000463340036,0.000462596274,0.000230556430,0.000230928610,0.000236314507,0.000244062953,0.000248301630,0.000245863313,0.000256873953,0.000256163733,0.000254775907,0.000116542678,0.000115508887,0.000117164739,0.000122583151,0.000122818476,0.000122506514,0.000126507212,0.000127743834,0.000125474180,0.000070582145,0.000068939890,0.000069359305,0.000073770467,0.000074079272,0.000074581873,0.000077915689,0.000076861006,0.000076552355,0.000053237115,0.000053384403,0.000053606720,0.000055999053,0.000057057044,0.000057762293,0.000058540574,0.000059934948,0.000058276250
3,0.000437723067,0.000436715108,0.000434988570,0.000472945852,0.000463954595,0.000466922703,0.000481698408,0.000478296813,0.000475365301,0.000242133198,0.000244327542,0.000247056913,0.000256259517,0.000260290682,0.000256890784,0.000270700091,0.000274121121,0.000272723983,0.000119086904,0.000120807262,0.000121005307,0.000129180131,0.000127820815,0.000126740762,0.000133851544,0.000132595979,0.000130607356,0.000073399475,0.000071272755,0.000071371740,0.000077243011,0.000076041267,0.000077716470,0.000081471984,0.000080749738,0.000079860858,0.000054997507,0.000055767936,0.000055476683,0.000057834996,0.000058702636,0.000059554244,0.000059971817,0.000061567654,0.000060323311
4,0.000444652227,0.000449670596,0.000447848222,0.000478509231,0.000475127496,0.000472134342,0.000484948336,0.000483153195,0.000479494292,0.000254152562,0.000250285206,0.000255886790,0.000271356329,0.000275669358,0.000269894368,0.000287547325,0.000287969071,0.000287337645,0.000121711907,0.000125038764,0.000124192567,0.000133909558,0.000130523802,0.000131811391,0.000141106968,0.000137350129,0.000138559959,0.000074875953,0.000073279496,0.000074219455,0.000079462366,0.000078538916,0.000079391224,0.000084816962,0.000082930672,0.000082547826,0.000056712835,0.000057383850,0.000056311977,0.000059897088,0.000059940870,0.000060638951,0.000061539412,0.000063478730,0.000062207785
5,0.000454152596,0.000460830606,0.000454224090,0.000482797739,0.000478932419,0.000478328586,0.000484948336,0.000485010391,0.000481147438,0.000265630011,0.000254887535,0.000261515460,0.000280919077,0.000290919754,0.000281419004,0.000298232647,0.000300460698,0.000297933753,0.000124765538,0.000127883869,0.000125796851,0.000137579070,0.000134857077,0.000134710113,0.000146906508,0.000141068740,0.000142823279,0.000076413826,0.000074560250,0.000076195513,0.000082245919,0.000081068024,0.000081251509,0.000088028494,0.000085315018,0.000084770761,0.000057324745,0.000058168568,0.000057740575,0.000062104656,0.000060837037,0.000061789645,0.000063353112,0.000065012676,0.000063558026
6,0.000463021608,0.000468575852,0.000465403502,0.000486178617,0.000480996178,0.000481368746,0.000485761697,0.000485476229,0.000481879066,0.000272259101,0.000263676961,0.000269327486,0.000287933100,0.000297341102,0.000292255940,0.000309412882,0.000312708950,0.000307205324,0.000127994006,0.000130121819,0.000129604980,0.000142583523,0.000138400054,0.000137579166,0.000150915688,0.000147312523,0.000149363503,0.000077290361,0.000075938053,0.000077949645,0.000084927104,0.000082754353,0.000081800644,0.000091189676,0.000087496540,0.000087195178,0.000058004112,0.000059418522,0.000058984485,0.000063044432,0.000062771822,0.000062846426,0.000065178675,0.000066536095,0.000065238094
7,0.000471982188,0.000472883293,0.000470505589,0.000487439024,0.000482204557,0.000481859541,0.000486270833,0.000485476229,0.000483881260,0.000281048545,0.000268086647,0.000277048905,0.000297597672,0.000306434567,0.000298848825,0.000318882507,0.000321573222,0.000313562303,0.000129594754,0.000132143975,0.000132403504,0.000145596548,0.000140806237,0.000141135146,0.000154863316,0.000150129059,0.000153074618,0.000078604329,0.000077403691,0.000078840675,0.000087309976,0.000084413633,0.000083270274,0.000092978598,0.000090594068,0.000090340338,0.000058950329,0.000060451318,0.000060438365,0.000063802451,0.000063534796,0.000063993345,0.000066774706,0.000067926895,0.000066603296
8,0.000476512069,0.000474941302,0.000473281253,0.000487607865,0.000483017918,0.000481859541,0.000486270833,0.000485791471,0.000484795235,0.000283414283,0.000274274947,0.000281183765,0.000303206437,0.000316189222,0.000304712041,0.000325914980,0.000330241903,0.000322064471,0.000131178897,0.000134314897,0.000134469567,0.000148871341,0.000146011053,0.000145075173,0.000157953731,0.000151758638,0.000155823584,0.000079345932,0.000078303969,0.000079749769,0.000088969922,0.000086415593,0.000085552558,0.000095214278,0.000091784879,0.000092511478,0.000060475922,0.000060933346,0.000061439760,0.000064606544,0.000064438289,0.000065712774,0.000067695075,0.000069504958,0.000067290676
9,0.000479173658,0.000475389087,0.000474452965,0.000488231553,0.000483516036,0.000482813040,0.000487199564,0.000486594375,0.000485142758,0.000286965922,0.000276117131,0.000286488756,0.000311278824,0.000322213098,0.000312747475,0.000334074749,0.000336828401,0.000330748767,0.000136007956,0.000135636300,0.000135354163,0.000152333983,0.000149482777,0.000149095391,0.000162232180,0.000156340725,0.000158935714,0.000080989852,0.000079296296,0.000080713679,0.000090550393,0.000087912653,0.000087734819,0.000096652366,0.000093538568,0.000093730988,0.000061511101,0.000061949091,0.000062836364,0.000065159567,0.000065500662,0.000066763016,0.000068691600,0.000070793791,0.000068680121
10,0.000480657582,0.000478238902,0.000475516979,0.000488231553,0.000483981874,0.000482813040,0.000487998169,0.000486594375,0.000485608596,0.000295618498,0.000280810641,0.000293230835,0.000315532635,0.000326257924,0.000318528145,0.000338483399,0.000343232847,0.000336078582,0.000139326346,0.000137058240,0.000139496769,0.000155114726,0.000152511875,0.000152449921,0.000166472222,0.000159183092,0.000162385320,0.000082782592,0.000080244274,0.000082410780,0.000092486467,0.000089198606,0.000089254424,0.000098201400,0.000096458425,0.000095800908,0.000062217484,0.000062616636,0.000063398582,0.000066055305,0.000066596294,0.000067434513,0.000070076337,0.000071701047,0.000069922753
11,0.000481597922,0.000478697143,0.000475516979,0.000488231553,0.000483981874,0.000483107547,0.000488811530,0.000486644708,0.000485608596,0.000297933130,0.000286064066,0.000296543750,0.000319475843,0.000330374926,0.000325519880,0.000345099434,0.000349202125,0.000340632922,0.000141301309,0.000140148079,0.000142406827,0.000159325607,0.000156093795,0.000154942232,0.000169617970,0.000162773743,0.000166105769,0.000083629213,0.000081926054,0.000083746016,0.000093807211,0.000090390657,0.000091601044,0.000100360081,0.000099057864,0.000097628978,0.000063045039,0.000063347450,0.000064016283,0.000067370784,0.000067385613,0.000068422308,0.000071420652,0.000072774650,0.000071244445
12,0.000482355688,0.000478707600,0.000476391153,0.000488231553,0.000484469535,0.000483931365,0.000489299191,0.000487092493,0.000485608596,0.000302655951,0.000289294404,0.000297953011,0.000324023542,0.000335093599,0.000329064406,0.000350186300,0.000352383671,0.000345912766,0.000144049772,0.000141555531,0.000144418316,0.000162581835,0.000162662869,0.000157944223,0.000172728168,0.000166302058,0.000168902233,0.000084565961,0.000083839689,0.000085235267,0.000095097626,0.000091810495,0.000092187716,0.000102139601,0.000100630947,0.000099253423,0.000063815538,0.000064027682,0.000064579243,0.000068251583,0.000068668120,0.000069617723,0.000073597535,0.000073776987,0.000072763031
13,0.000482355688,0.000478901397,0.000477377576,0.000488271430,0.000484479992,0.000483931365,0.000489313947,0.000487418193,0.000485608596,0.000309233050,0.000291895237,0.000302965275,0.000329585609,0.000342193204,0.000332078232,0.000354801240,0.000356707023,0.000351203666,0.000148110453,0.000142167876,0.000146734284,0.000165510583,0.000164611343,0.000161540830,0.000176144033,0.000168403491,0.000171483206,0.000085093459,0.000084842428,0.000085732162,0.000096103720,0.000092474014,0.000093381118,0.000103975953,0.000102536135,0.000100672625,0.000064580927,0.000064287516,0.000064921660,0.000068897594,0.000069360615,0.000070254716,0.000074654861,0.000074469025,0.000073735319
14,0.000482380644,0.000479799117,0.000477672084,0.000488729672,0.000484479992,0.000483931365,0.000490123009,0.000487733435,0.000485608596,0.000311275567,0.000294531268,0.000305497087,0.000332780476,0.000345290928,0.000336267470,0.000359256806,0.000363699398,0.000358417371,0.000150208396,0.000143250301,0.000148101523,0.000168680320,0.000167659366,0.000162717443,0.000178967916,0.000171158318,0.000174209348,0.000086555734,0.000085274961,0.000086468095,0.000097658081,0.000093674358,0.000094914266,0.000105578878,0.000103482030,0.000101864975,0.000065094320,0.000064862894,0.000065803132,0.000069281121,0.000070235739,0.000071245713,0.000076032381,0.000075140237,0.000074739651
