No,Dataset,Customers,CS,PopSize,MaxIter,BestFitness,AvgFitness,StdFitness,WorstFitness,BestDistance,AvgDistance,FeasibleCount,TotalRuns,AvgTimeMs
1,10_Customers,10,2,20,200,0.000492,0.000486,0.000009,0.000468,101.50,102.78,30,30,26
2,10_Customers,10,2,20,500,0.000492,0.000491,0.000003,0.000483,101.50,101.70,30,30,38
3,10_Customers,10,2,20,1000,0.000492,0.000491,0.000003,0.000483,101.50,101.70,30,30,72
4,10_Customers,10,2,50,200,0.000492,0.000491,0.000004,0.000483,101.50,101.83,30,30,36
5,10_Customers,10,2,50,500,0.000492,0.000492,0.000002,0.000483,101.50,101.63,30,30,88
6,10_Customers,10,2,50,1000,0.000492,0.000492,0.000000,0.000492,101.50,101.50,30,30,175
7,10_Customers,10,2,100,200,0.000492,0.000492,0.000000,0.000492,101.50,101.50,30,30,71
8,10_Customers,10,2,100,500,0.000492,0.000492,0.000000,0.000492,101.50,101.50,30,30,175
9,10_Customers,10,2,100,1000,0.000492,0.000492,0.000000,0.000492,101.50,101.50,30,30,348
10,20_Customers,20,3,20,200,0.000421,0.000397,0.000024,0.000318,118.84,126.44,30,30,34
11,20_Customers,20,3,20,500,0.000421,0.000398,0.000021,0.000336,118.84,125.88,30,30,76
12,20_Customers,20,3,20,1000,0.000421,0.000401,0.000018,0.000343,118.84,124.94,30,30,147
13,20_Customers,20,3,50,200,0.000421,0.000399,0.000016,0.000350,118.84,125.54,30,30,79
14,20_Customers,20,3,50,500,0.000416,0.000402,0.000013,0.000368,120.01,124.60,30,30,184
15,20_Customers,20,3,50,1000,0.000421,0.000408,0.000012,0.000381,118.84,122.64,30,30,358
16,20_Customers,20,3,100,200,0.000421,0.000404,0.000017,0.000340,118.84,123.84,30,30,153
17,20_Customers,20,3,100,500,0.000418,0.000407,0.000011,0.000383,119.48,122.99,30,30,363
18,20_Customers,20,3,100,1000,0.000421,0.000411,0.000009,0.000376,118.84,121.58,30,30,718
19,30_Customers,30,4,20,200,0.000330,0.000281,0.000031,0.000212,151.35,180.21,30,30,66
20,30_Customers,30,4,20,500,0.000348,0.000296,0.000028,0.000207,143.72,170.72,30,30,149
21,30_Customers,30,4,20,1000,0.000348,0.000298,0.000025,0.000257,143.72,168.85,30,30,286
22,30_Customers,30,4,50,200,0.000324,0.000285,0.000025,0.000226,154.32,176.96,30,30,159
23,30_Customers,30,4,50,500,0.000316,0.000290,0.000021,0.000249,157.99,173.41,30,30,365
24,30_Customers,30,4,50,1000,0.000348,0.000293,0.000025,0.000244,143.72,171.68,30,30,715
25,30_Customers,30,4,100,200,0.000330,0.000286,0.000029,0.000210,151.35,177.01,30,30,316
26,30_Customers,30,4,100,500,0.000348,0.000298,0.000027,0.000247,143.72,169.31,30,30,726
27,30_Customers,30,4,100,1000,0.000324,0.000295,0.000020,0.000248,154.32,170.31,30,30,1392
28,40_Customers,40,5,20,200,0.000218,0.000180,0.000020,0.000137,229.73,281.41,30,30,168
29,40_Customers,40,5,20,500,0.000242,0.000200,0.000020,0.000159,206.32,251.96,30,30,376
30,40_Customers,40,5,20,1000,0.000236,0.000207,0.000019,0.000166,211.95,243.81,30,30,700
31,40_Customers,40,5,50,200,0.000239,0.000193,0.000017,0.000157,209.31,261.31,30,30,401
32,40_Customers,40,5,50,500,0.000246,0.000204,0.000020,0.000175,203.34,247.16,30,30,909
33,40_Customers,40,5,50,1000,0.000243,0.000213,0.000015,0.000174,205.52,236.16,30,30,1656
34,40_Customers,40,5,100,200,0.000255,0.000204,0.000024,0.000156,195.83,248.06,30,30,786
35,40_Customers,40,5,100,500,0.000240,0.000207,0.000022,0.000145,208.14,244.98,30,30,1780
36,40_Customers,40,5,100,1000,0.000243,0.000208,0.000018,0.000177,205.37,242.26,30,30,3331
37,50_Customers,50,6,20,200,0.000175,0.000148,0.000014,0.000119,285.05,340.49,30,30,277
38,50_Customers,50,6,20,500,0.000239,0.000184,0.000023,0.000140,208.89,275.37,30,30,623
39,50_Customers,50,6,20,1000,0.000234,0.000198,0.000016,0.000156,213.84,254.26,30,30,1193
40,50_Customers,50,6,50,200,0.000202,0.000169,0.000014,0.000137,247.31,297.69,30,30,713
41,50_Customers,50,6,50,500,0.000235,0.000193,0.000020,0.000128,212.67,262.62,30,30,1560
42,50_Customers,50,6,50,1000,0.000245,0.000199,0.000022,0.000162,204.32,253.77,30,30,2737
43,50_Customers,50,6,100,200,0.000209,0.000177,0.000014,0.000142,239.73,283.93,30,30,1351
44,50_Customers,50,6,100,500,0.000246,0.000195,0.000019,0.000157,202.89,258.78,30,30,3029
45,50_Customers,50,6,100,1000,0.000233,0.000197,0.000020,0.000138,214.50,256.89,30,30,5510
